Class;Start time;Stop time
absence;2017-01-30 04:40:26.368;2017-01-30 14:59:33.108
vacuumcleaner;2017-01-30 14:59:33.128;2017-01-30 15:00:22.248
absence;2017-01-30 15:00:22.268;2017-01-30 15:02:00.948
other;2017-01-30 15:02:00.968;2017-01-30 15:02:20.808
toothbrushing;2017-01-30 15:02:20.828;2017-01-30 15:03:26.628
other;2017-01-30 15:03:26.648;2017-01-30 15:03:43.288
absence;2017-01-30 15:03:43.308;2017-01-30 16:48:03.708
other;2017-01-30 16:48:03.728;2017-01-30 16:48:22.128
toothbrushing;2017-01-30 16:48:22.148;2017-01-30 16:49:28.388
other;2017-01-30 16:49:28.408;2017-01-30 16:49:34.548
shaving;2017-01-30 16:49:34.568;2017-01-30 16:56:11.648
other;2017-01-30 16:56:11.668;2017-01-30 16:57:23.948
absence;2017-01-30 16:57:23.968;2017-01-30 22:52:23.988
dont use;2017-01-30 22:52:24.008;2017-01-30 22:54:04.888
absence;2017-01-30 22:54:04.908;2017-01-30 23:27:39.648
vacuumcleaner;2017-01-30 23:27:39.668;2017-01-30 23:28:05.128
absence;2017-01-30 23:28:05.148;2017-01-30 23:51:20.268
other;2017-01-30 23:51:20.288;2017-01-30 23:51:38.308
showering;2017-01-30 23:51:38.328;2017-01-30 23:55:47.328
other;2017-01-30 23:55:47.348;2017-01-30 23:56:15.108
getting dry;2017-01-30 23:56:15.128;2017-01-30 23:57:48.588
other;2017-01-30 23:57:48.608;2017-01-30 23:58:08.568
toothbrushing;2017-01-30 23:58:08.588;2017-01-30 23:59:19.668
other;2017-01-30 23:59:19.688;2017-01-30 23:59:30.168
shaving;2017-01-30 23:59:30.188;2017-01-31 00:00:28.248
other;2017-01-31 00:00:28.268;2017-01-31 00:01:36.408
absence;2017-01-31 00:01:36.428;2017-01-31 11:44:14.368
other;2017-01-31 11:44:14.388;2017-01-31 11:44:33.908
showering;2017-01-31 11:44:33.928;2017-01-31 11:48:13.488
other;2017-01-31 11:48:13.508;2017-01-31 11:48:33.888
getting dry;2017-01-31 11:48:33.908;2017-01-31 11:50:35.788
other;2017-01-31 11:50:35.808;2017-01-31 11:50:46.468
toothbrushing;2017-01-31 11:50:46.488;2017-01-31 11:52:08.688
other;2017-01-31 11:52:08.708;2017-01-31 11:52:25.128
shaving;2017-01-31 11:52:25.148;2017-01-31 11:53:19.348
other;2017-01-31 11:53:19.368;2017-01-31 11:53:39.948
absence;2017-01-31 11:53:39.968;2017-01-31 19:10:37.428
other;2017-01-31 19:10:37.448;2017-01-31 19:13:04.268
absence;2017-01-31 19:13:04.288;2017-01-31 21:04:10.588
other;2017-01-31 21:04:10.608;2017-01-31 21:04:30.148
toothbrushing;2017-01-31 21:04:30.168;2017-01-31 21:05:39.848
other;2017-01-31 21:05:39.868;2017-01-31 21:05:47.388
shaving;2017-01-31 21:05:47.408;2017-01-31 21:07:12.428
other;2017-01-31 21:07:12.448;2017-01-31 21:07:44.208
absence;2017-01-31 21:07:44.228;2017-01-31 23:13:00.948
other;2017-01-31 23:13:00.968;2017-01-31 23:13:18.968
showering;2017-01-31 23:13:18.988;2017-01-31 23:17:37.408
other;2017-01-31 23:17:37.428;2017-01-31 23:17:58.828
getting dry;2017-01-31 23:17:58.848;2017-01-31 23:19:42.988
