Class;Start time;Stop time
other;2017-01-30 04:40:26.368;2017-01-30 04:40:41.428
dressing;2017-01-30 04:40:41.448;2017-01-30 04:41:17.128
sleeping;2017-01-30 04:41:01.428;2017-01-30 08:20:01.628
other;2017-01-30 08:20:01.648;2017-01-30 08:20:41.768
absence;2017-01-30 08:20:41.788;2017-01-30 08:25:11.888
other;2017-01-30 08:25:11.908;2017-01-30 08:25:36.128
dressing;2017-01-30 08:25:36.148;2017-01-30 08:29:04.008
other;2017-01-30 08:29:04.028;2017-01-30 08:29:06.568
absence;2017-01-30 08:29:06.588;2017-01-30 08:30:06.248
other;2017-01-30 08:30:06.268;2017-01-30 08:30:28.808
absence;2017-01-30 08:30:28.828;2017-01-30 10:42:02.788
other;2017-01-30 10:42:02.808;2017-01-30 10:42:21.888
absence;2017-01-30 10:42:21.908;2017-01-30 12:11:38.188
visit;2017-01-30 12:11:38.208;2017-01-30 12:13:24.108
absence;2017-01-30 12:13:24.128;2017-01-30 14:03:14.888
other;2017-01-30 14:03:14.908;2017-01-30 14:03:48.768
dressing;2017-01-30 14:03:48.788;2017-01-30 14:05:12.808
other;2017-01-30 14:05:12.828;2017-01-30 14:05:23.548
absence;2017-01-30 14:05:23.568;2017-01-30 14:54:05.508
other;2017-01-30 14:54:05.528;2017-01-30 14:54:18.748
dressing;2017-01-30 14:54:18.768;2017-01-30 14:55:43.968
other;2017-01-30 14:55:43.988;2017-01-30 14:56:01.548
absence;2017-01-30 14:56:01.568;2017-01-30 17:36:10.648
other;2017-01-30 17:36:10.668;2017-01-30 17:37:02.708
absence;2017-01-30 17:37:02.728;2017-01-30 22:52:23.988
dont use;2017-01-30 22:52:24.008;2017-01-30 22:54:04.888
absence;2017-01-30 22:54:04.908;2017-01-30 23:50:02.848
other;2017-01-30 23:50:02.868;2017-01-30 23:50:25.148
dressing;2017-01-30 23:50:25.168;2017-01-30 23:51:09.208
other;2017-01-30 23:51:09.228;2017-01-30 23:51:18.128
absence;2017-01-30 23:51:18.148;2017-01-31 00:01:39.788
other;2017-01-31 00:01:39.808;2017-01-31 00:01:53.428
dressing;2017-01-31 00:01:53.448;2017-01-31 00:02:36.048
other;2017-01-31 00:02:36.068;2017-01-31 00:02:47.908
absence;2017-01-31 00:02:47.928;2017-01-31 01:52:10.248
other;2017-01-31 01:52:10.268;2017-01-31 01:52:35.108
sleeping;2017-01-31 01:52:35.128;2017-01-31 09:02:11.028
other;2017-01-31 09:02:11.048;2017-01-31 09:02:27.988
absence;2017-01-31 09:02:28.008;2017-01-31 11:43:16.428
other;2017-01-31 11:43:16.448;2017-01-31 11:43:24.688
dressing;2017-01-31 11:43:24.708;2017-01-31 11:44:03.768
other;2017-01-31 11:44:03.788;2017-01-31 11:44:09.388
absence;2017-01-31 11:44:09.408;2017-01-31 11:53:44.948
other;2017-01-31 11:53:44.968;2017-01-31 11:53:57.548
dressing;2017-01-31 11:53:57.568;2017-01-31 11:57:42.268
