Class;Start time;Stop time
absence;2017-01-30 04:40:26.368;2017-01-30 08:29:11.848
other;2017-01-30 08:29:11.868;2017-01-30 08:30:03.228
absence;2017-01-30 08:30:03.248;2017-01-30 08:30:30.868
other;2017-01-30 08:30:30.888;2017-01-30 08:31:04.548
working;2017-01-30 08:31:04.568;2017-01-30 09:12:03.748
other;2017-01-30 09:12:03.768;2017-01-30 09:12:28.948
cooking;2017-01-30 09:12:28.968;2017-01-30 09:21:10.028
other;2017-01-30 09:21:10.048;2017-01-30 09:21:15.168
working;2017-01-30 09:21:15.188;2017-01-30 09:25:57.148
other;2017-01-30 09:25:57.168;2017-01-30 09:26:35.428
cooking;2017-01-30 09:26:35.448;2017-01-30 09:27:07.148
other;2017-01-30 09:27:07.168;2017-01-30 09:27:12.868
eating;2017-01-30 09:27:12.888;2017-01-30 09:29:32.708
other;2017-01-30 09:29:32.728;2017-01-30 09:29:37.028
calling;2017-01-30 09:29:37.048;2017-01-30 09:47:40.068
other;2017-01-30 09:47:40.088;2017-01-30 09:48:00.068
eating;2017-01-30 09:48:00.088;2017-01-30 09:48:29.548
other;2017-01-30 09:48:29.568;2017-01-30 09:50:34.808
working;2017-01-30 09:50:34.828;2017-01-30 10:08:29.288
other;2017-01-30 10:08:29.308;2017-01-30 10:09:06.708
calling;2017-01-30 10:09:06.728;2017-01-30 10:09:45.168
other;2017-01-30 10:09:45.188;2017-01-30 10:09:57.728
working;2017-01-30 10:09:57.748;2017-01-30 10:41:15.508
other;2017-01-30 10:41:15.528;2017-01-30 10:42:00.948
absence;2017-01-30 10:42:00.968;2017-01-30 10:42:26.088
other;2017-01-30 10:42:26.108;2017-01-30 10:42:42.688
working;2017-01-30 10:42:42.708;2017-01-30 10:57:42.448
other;2017-01-30 10:57:42.468;2017-01-30 10:58:10.648
absence;2017-01-30 10:58:10.668;2017-01-30 11:05:30.648
visit;2017-01-30 11:05:30.668;2017-01-30 11:14:06.168
absence;2017-01-30 11:14:06.188;2017-01-30 12:08:04.628
visit;2017-01-30 12:08:04.648;2017-01-30 12:17:10.268
absence;2017-01-30 12:17:10.288;2017-01-30 13:47:10.528
visit;2017-01-30 13:47:10.548;2017-01-30 14:02:18.688
absence;2017-01-30 14:02:18.708;2017-01-30 14:05:23.908
other;2017-01-30 14:05:23.928;2017-01-30 14:06:00.748
absence;2017-01-30 14:06:00.768;2017-01-30 14:13:36.168
other;2017-01-30 14:13:36.188;2017-01-30 14:16:01.288
calling;2017-01-30 14:16:01.308;2017-01-30 14:22:44.048
other;2017-01-30 14:22:44.068;2017-01-30 14:22:53.488
working;2017-01-30 14:22:53.508;2017-01-30 14:35:56.048
other;2017-01-30 14:35:56.068;2017-01-30 14:36:42.368
calling;2017-01-30 14:36:42.388;2017-01-30 14:38:43.928
other;2017-01-30 14:38:43.948;2017-01-30 14:46:03.968
dishwashing;2017-01-30 14:46:03.988;2017-01-30 14:53:18.928
other;2017-01-30 14:53:18.948;2017-01-30 14:53:58.208
absence;2017-01-30 14:53:58.228;2017-01-30 14:56:08.128
other;2017-01-30 14:56:08.148;2017-01-30 14:56:52.548
vacuumcleaner;2017-01-30 14:56:52.568;2017-01-30 15:01:34.968
other;2017-01-30 15:01:34.988;2017-01-30 15:01:57.368
absence;2017-01-30 15:01:57.388;2017-01-30 15:03:46.728
other;2017-01-30 15:03:46.748;2017-01-30 15:04:03.408
working;2017-01-30 15:04:03.428;2017-01-30 15:59:28.728
other;2017-01-30 15:59:28.748;2017-01-30 15:59:55.988
cooking;2017-01-30 15:59:56.008;2017-01-30 16:27:18.208
other;2017-01-30 16:27:18.228;2017-01-30 16:27:35.948
eating;2017-01-30 16:27:35.968;2017-01-30 16:39:30.208
other;2017-01-30 16:39:30.228;2017-01-30 16:39:43.208
dishwashing;2017-01-30 16:39:43.228;2017-01-30 16:47:01.068
other;2017-01-30 16:47:01.088;2017-01-30 16:48:01.488
absence;2017-01-30 16:48:01.508;2017-01-30 16:57:26.168
other;2017-01-30 16:57:26.188;2017-01-30 16:57:41.108
working;2017-01-30 16:57:41.128;2017-01-30 17:10:40.148
other;2017-01-30 17:10:40.168;2017-01-30 17:11:00.448
watching tv;2017-01-30 17:11:00.468;2017-01-30 17:35:41.468
other;2017-01-30 17:35:41.488;2017-01-30 17:36:09.908
absence;2017-01-30 17:36:09.928;2017-01-30 17:37:04.628
other;2017-01-30 17:37:04.648;2017-01-30 17:37:34.468
watching tv;2017-01-30 17:37:34.488;2017-01-30 21:20:53.708
other;2017-01-30 21:20:53.728;2017-01-30 21:21:51.348
absence;2017-01-30 21:21:51.368;2017-01-30 21:24:47.008
other;2017-01-30 21:24:47.028;2017-01-30 21:26:07.788
working;2017-01-30 21:26:07.808;2017-01-30 21:52:12.828
other;2017-01-30 21:52:12.848;2017-01-30 21:52:36.848
calling;2017-01-30 21:52:36.868;2017-01-30 22:03:28.928
other;2017-01-30 22:03:28.948;2017-01-30 22:03:53.648
working;2017-01-30 22:03:53.668;2017-01-30 22:52:23.988
dont use;2017-01-30 22:52:24.008;2017-01-30 22:54:04.888
other;2017-01-30 22:54:04.908;2017-01-30 22:54:05.128
working;2017-01-30 22:54:05.148;2017-01-30 23:08:12.908
other;2017-01-30 23:08:12.928;2017-01-30 23:08:18.288
cooking;2017-01-30 23:08:18.308;2017-01-30 23:16:54.928
other;2017-01-30 23:16:54.948;2017-01-30 23:17:02.808
eating;2017-01-30 23:17:02.828;2017-01-30 23:25:25.888
other;2017-01-30 23:25:25.908;2017-01-30 23:26:01.328
vacuumcleaner;2017-01-30 23:26:01.348;2017-01-30 23:29:06.068
other;2017-01-30 23:29:06.088;2017-01-30 23:29:23.168
working;2017-01-30 23:29:23.188;2017-01-30 23:49:46.288
other;2017-01-30 23:49:46.308;2017-01-30 23:50:01.068
absence;2017-01-30 23:50:01.088;2017-01-31 00:02:53.148
other;2017-01-31 00:02:53.168;2017-01-31 00:03:02.628
working;2017-01-31 00:03:02.648;2017-01-31 00:04:29.388
