Class;Start time;Stop time
absence;2017-01-30 04:40:26.368;2017-01-30 08:20:49.248
toilet;2017-01-30 08:20:49.268;2017-01-30 08:25:09.128
absence;2017-01-30 08:25:09.148;2017-01-30 12:07:05.528
toilet;2017-01-30 12:07:05.548;2017-01-30 12:08:03.808
absence;2017-01-30 12:08:03.828;2017-01-30 14:06:06.068
toilet;2017-01-30 14:06:06.088;2017-01-30 14:13:28.508
absence;2017-01-30 14:13:28.528;2017-01-30 21:21:56.328
toilet;2017-01-30 21:21:56.348;2017-01-30 21:24:46.668
absence;2017-01-30 21:24:46.688;2017-01-30 22:52:23.988
dont use;2017-01-30 22:52:24.008;2017-01-30 22:54:04.888
absence;2017-01-30 22:54:04.908;2017-01-31 09:02:31.428
toilet;2017-01-31 09:02:31.448;2017-01-31 09:04:52.888
absence;2017-01-31 09:04:52.908;2017-01-31 18:35:22.508
toilet;2017-01-31 18:35:22.528;2017-01-31 18:42:23.908
absence;2017-01-31 18:42:23.928;2017-02-01 10:07:58.088
toilet;2017-02-01 10:07:58.108;2017-02-01 10:13:11.468
absence;2017-02-01 10:13:11.488;2017-02-01 10:53:37.028
vacuumcleaner;2017-02-01 10:53:37.048;2017-02-01 10:54:10.228
absence;2017-02-01 10:54:10.248;2017-02-01 14:36:53.148
vacuumcleaner;2017-02-01 14:36:53.168;2017-02-01 14:37:27.508
absence;2017-02-01 14:37:27.528;2017-02-01 15:27:01.708
toilet;2017-02-01 15:27:01.728;2017-02-01 15:28:04.628
absence;2017-02-01 15:28:04.648;2017-02-01 15:32:19.328
dont use;2017-02-01 15:32:19.348;2017-02-01 16:34:13.428
absence;2017-02-01 16:34:13.448;2017-02-01 18:01:30.108
toilet;2017-02-01 18:01:30.128;2017-02-01 18:12:20.668
absence;2017-02-01 18:12:20.688;2017-02-02 00:04:41.548
vacuumcleaner;2017-02-02 00:04:41.568;2017-02-02 00:05:09.848
absence;2017-02-02 00:05:09.868;2017-02-02 00:06:40.088
toilet;2017-02-02 00:06:40.108;2017-02-02 00:07:44.808
absence;2017-02-02 00:07:44.828;2017-02-02 07:54:06.788
toilet;2017-02-02 07:54:06.808;2017-02-02 07:57:37.208
absence;2017-02-02 07:57:37.228;2017-02-02 21:57:42.248
toilet;2017-02-02 21:57:42.268;2017-02-02 22:03:57.128
absence;2017-02-02 22:03:57.148;2017-02-02 22:09:56.308
vacuumcleaner;2017-02-02 22:09:56.328;2017-02-02 22:10:29.388
absence;2017-02-02 22:10:29.408;2017-02-03 10:42:05.308
toilet;2017-02-03 10:42:05.328;2017-02-03 10:46:18.428
absence;2017-02-03 10:46:18.448;2017-02-03 12:31:20.248
toilet;2017-02-03 12:31:20.268;2017-02-03 12:37:02.068
absence;2017-02-03 12:37:02.088;2017-02-03 12:47:45.068
vacuumcleaner;2017-02-03 12:47:45.088;2017-02-03 12:48:22.788
absence;2017-02-03 12:48:22.808;2017-02-03 18:29:53.788
toilet;2017-02-03 18:29:53.808;2017-02-03 18:35:47.268
absence;2017-02-03 18:35:47.288;2017-02-03 22:51:51.408
toilet;2017-02-03 22:51:51.428;2017-02-03 22:53:12.008
absence;2017-02-03 22:53:12.028;2017-02-04 02:10:35.588
vacuumcleaner;2017-02-04 02:10:35.608;2017-02-04 02:11:04.608
absence;2017-02-04 02:11:04.628;2017-02-04 11:37:49.088
toilet;2017-02-04 11:37:49.108;2017-02-04 11:40:30.408
absence;2017-02-04 11:40:30.428;2017-02-04 12:17:59.168
vacuumcleaner;2017-02-04 12:17:59.188;2017-02-04 12:18:25.388
absence;2017-02-04 12:18:25.408;2017-02-04 15:16:23.948
toilet;2017-02-04 15:16:23.968;2017-02-04 15:23:34.648
absence;2017-02-04 15:23:34.668;2017-02-04 20:06:47.568
toilet;2017-02-04 20:06:47.588;2017-02-04 20:20:03.848
absence;2017-02-04 20:20:03.868;2017-02-04 22:51:27.548
toilet;2017-02-04 22:51:27.568;2017-02-04 22:53:11.228
absence;2017-02-04 22:53:11.248;2017-02-05 08:31:34.468
toilet;2017-02-05 08:31:34.488;2017-02-05 08:36:09.168
absence;2017-02-05 08:36:09.188;2017-02-05 09:32:22.528
