Class;Start time;Stop time
bedroom;2017-01-30 04:40:26.348;2017-01-30 08:20:41.761
dressing;2017-01-30 04:40:41.448;2017-01-30 04:41:17.119
sleeping;2017-01-30 04:41:01.419;2017-01-30 08:20:01.622
hall;2017-01-30 08:20:37.221;2017-01-30 08:20:52.733
wcroom;2017-01-30 08:20:49.271;2017-01-30 08:25:09.137
toilet;2017-01-30 08:20:54.182;2017-01-30 08:24:57.939
hall;2017-01-30 08:25:04.042;2017-01-30 08:25:20.786
bedroom;2017-01-30 08:25:11.902;2017-01-30 08:29:06.563
dressing;2017-01-30 08:25:36.152;2017-01-30 08:29:03.998
hall;2017-01-30 08:28:58.985;2017-01-30 08:29:21.378
living;2017-01-30 08:29:11.873;2017-01-30 08:30:03.224
hall;2017-01-30 08:29:57.941;2017-01-30 08:30:37.413
bedroom;2017-01-30 08:30:06.271;2017-01-30 08:30:28.803
living;2017-01-30 08:30:30.897;2017-01-30 10:42:00.948
working;2017-01-30 08:31:04.571;2017-01-30 09:12:03.748
cooking;2017-01-30 09:12:28.975;2017-01-30 09:21:10.028
working;2017-01-30 09:21:15.195;2017-01-30 09:25:57.148
cooking;2017-01-30 09:26:35.447;2017-01-30 09:27:07.140
eating;2017-01-30 09:27:12.889;2017-01-30 09:29:32.711
calling;2017-01-30 09:29:37.051;2017-01-30 09:47:40.071
eating;2017-01-30 09:48:00.084;2017-01-30 09:48:29.543
working;2017-01-30 09:50:34.832;2017-01-30 10:08:29.294
calling;2017-01-30 10:09:06.726;2017-01-30 10:09:45.161
working;2017-01-30 10:09:57.738;2017-01-30 10:41:15.507
hall;2017-01-30 10:41:53.316;2017-01-30 10:42:09.477
bedroom;2017-01-30 10:42:02.814;2017-01-30 10:42:21.892
hall;2017-01-30 10:42:17.319;2017-01-30 10:42:32.827
living;2017-01-30 10:42:26.099;2017-01-30 10:58:10.641
working;2017-01-30 10:42:42.710;2017-01-30 10:57:42.438
hall;2017-01-30 10:58:05.840;2017-01-30 10:58:38.206
absence;2017-01-30 10:58:38.206;2017-01-30 11:04:41.367
hall;2017-01-30 11:04:41.367;2017-01-30 11:05:38.480
visit;2017-01-30 11:04:41.738;2017-01-30 11:14:33.050
living;2017-01-30 11:05:30.674;2017-01-30 11:14:06.161
hall;2017-01-30 11:13:59.335;2017-01-30 11:14:33.050
absence;2017-01-30 11:14:33.050;2017-01-30 12:06:30.126
hall;2017-01-30 12:06:30.126;2017-01-30 12:07:10.019
visit;2017-01-30 12:06:31.759;2017-01-30 12:17:23.291
wcroom;2017-01-30 12:07:05.544;2017-01-30 12:08:03.816
toilet;2017-01-30 12:07:13.645;2017-01-30 12:07:57.323
hall;2017-01-30 12:07:56.434;2017-01-30 12:08:09.115
living;2017-01-30 12:08:04.654;2017-01-30 12:17:10.274
hall;2017-01-30 12:11:31.303;2017-01-30 12:13:28.938
bedroom;2017-01-30 12:11:38.202;2017-01-30 12:13:24.099
hall;2017-01-30 12:17:01.847;2017-01-30 12:17:23.291
absence;2017-01-30 12:17:23.291;2017-01-30 13:46:59.059
hall;2017-01-30 13:46:59.059;2017-01-30 13:47:28.212
visit;2017-01-30 13:47:01.280;2017-01-30 14:02:53.170
living;2017-01-30 13:47:10.542;2017-01-30 14:02:18.681
hall;2017-01-30 14:02:08.871;2017-01-30 14:03:21.046
bedroom;2017-01-30 14:03:14.908;2017-01-30 14:05:23.554
dressing;2017-01-30 14:03:48.787;2017-01-30 14:05:12.800
hall;2017-01-30 14:05:15.160;2017-01-30 14:05:31.629
living;2017-01-30 14:05:23.921;2017-01-30 14:06:00.755
hall;2017-01-30 14:05:55.725;2017-01-30 14:06:13.340
wcroom;2017-01-30 14:06:06.089;2017-01-30 14:13:28.502
toilet;2017-01-30 14:06:21.279;2017-01-30 14:13:12.064
hall;2017-01-30 14:13:22.100;2017-01-30 14:13:40.171
living;2017-01-30 14:13:36.186;2017-01-30 14:53:58.204
calling;2017-01-30 14:16:01.298;2017-01-30 14:22:44.039
working;2017-01-30 14:22:53.503;2017-01-30 14:35:56.053
calling;2017-01-30 14:36:42.380;2017-01-30 14:38:43.934
dishwashing;2017-01-30 14:46:03.982;2017-01-30 14:53:18.927
hall;2017-01-30 14:53:53.196;2017-01-30 14:54:12.102
bedroom;2017-01-30 14:54:05.537;2017-01-30 14:56:01.540
dressing;2017-01-30 14:54:18.762;2017-01-30 14:55:43.976
hall;2017-01-30 14:55:55.171;2017-01-30 14:56:14.520
living;2017-01-30 14:56:08.151;2017-01-30 14:59:02.799
vacuumcleaner;2017-01-30 14:56:52.568;2017-01-30 15:01:34.974
